query_id,query
query_34,Recipe request (Soup Recipes): Please suggest a slow-cooker (but keep under the time limit) recipe featuring pumpkin soup. Dietary restrictions/allergies: halal. Make it serve 5 people. Total time must be under 45 minutes. Provide substitutions for any uncommon ingredients. Make it kid-friendly. Include suggested side pairings.
query_35,Recipe request (Cuisine): Please suggest a one-pot recipe featuring Mediterranean. Dietary restrictions/allergies: high-protein. Make it serve 5 people. Total time must be under 1 hour 40 minutes. Include a make-ahead tip. Use pantry staples where possible. Include suggested side pairings.
query_36,"Recipe request (Soups, Stews and Chili Recipes): Please suggest a stovetop recipe featuring seafood chowder. Make it serve 2 people. Total time must be under 2 hours. Make it kid-friendly. Keep it budget-friendly. Provide metric and imperial measurements."
query_37,Recipe request (Bread): Please suggest a slow-cooker (but keep under the time limit) recipe featuring focaccia. Dietary restrictions/allergies: tree-nut allergy. Make it serve 5 people. Total time must be under 40 minutes. Ensure it reheats well for leftovers. Make it kid-friendly. Include a timeline (prep vs cook time).
query_38,"Recipe request (Seafood): Please suggest a one-pot recipe featuring shrimp scampi. Dietary restrictions/allergies: dairy-free, nut-free. Make it serve 12 people. Total time must be under 1 hour. Make it kid-friendly. Include a make-ahead tip. Give clear step-by-step instructions."
query_39,Recipe request (Side Dish): Please suggest a slow-cooker (but keep under the time limit) recipe featuring roasted carrots. Make it serve 5 people. Total time must be under 2 hours 30 minutes. Avoid deep frying. Provide substitutions for any uncommon ingredients. Provide metric and imperial measurements.
query_40,Recipe request (Seafood): Please suggest a slow-cooker (but keep under the time limit) recipe featuring baked cod. Dietary restrictions/allergies: high-fiber. Make it serve 1 people. Total time must be under 25 minutes. Make it kid-friendly. Use pantry staples where possible. Give clear step-by-step instructions.
query_41,"Recipe request (Main Dishes): Please suggest a one-pot recipe featuring lentil curry. Dietary restrictions/allergies: tree-nut allergy. Make it serve 5 people. Total time must be under 40 minutes. Ensure it reheats well for leftovers. Use no more than 10 ingredients (excluding salt, pepper, oil). Include a timeline (prep vs cook time)."
query_42,Recipe request (Appetizers and Snacks): Please suggest a stovetop recipe featuring crispy chickpeas. Make it serve 3 people. Total time must be under 2 hours. Avoid deep frying. Make it one-pan to minimize cleanup. Include a timeline (prep vs cook time).
query_43,Recipe request (Cuisine): Please suggest a oven-baked recipe featuring Indian-style. Dietary restrictions/allergies: heart-healthy. Make it serve 1 people. Total time must be under 1 hour. Use pantry staples where possible. Avoid deep frying. Add a short explanation of why each key step matters.
query_44,"Recipe request (Everyday Cooking): Please suggest a stovetop recipe featuring skillet meal. Dietary restrictions/allergies: no pork, no mushrooms. Make it serve 6 people. Total time must be under 2 hours. Ensure it reheats well for leftovers. Keep it budget-friendly. Add a short explanation of why each key step matters."
query_45,"Recipe request (Desserts): Please suggest a air fryer recipe featuring fruit tart. Dietary restrictions/allergies: halal. Make it serve 1 people. Total time must be under 40 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Include a short shopping list. Add a short explanation of why each key step matters."
query_46,"Recipe request (Fruits and Vegetables): Please suggest a sheet-pan recipe featuring zucchini noodles. Dietary restrictions/allergies: shellfish allergy, low-sodium. Make it serve 2 people. Total time must be under 1 hour 20 minutes. Provide substitutions for any uncommon ingredients. Include approximate calories per serving. Provide metric and imperial measurements."
query_47,Recipe request (Holidays and Events Recipes): Please suggest a oven-baked recipe featuring holiday brunch. Dietary restrictions/allergies: low-carb. Make it serve 1 people. Total time must be under 45 minutes. Include a make-ahead tip. Make it kid-friendly. Provide metric and imperial measurements.
query_48,"Recipe request (Seafood): Please suggest a one-pot recipe featuring baked cod. Dietary restrictions/allergies: dairy-free, low-carb. Make it serve 12 people. Total time must be under 1 hour 10 minutes. Keep it budget-friendly. Make it one-pan to minimize cleanup. Provide metric and imperial measurements."
query_49,"Recipe request (BBQ & Grilling): Please suggest a grill recipe featuring grilled chicken. Dietary restrictions/allergies: halal. Make it serve 8 people. Total time must be under 1 hour 15 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Make it one-pan to minimize cleanup. Include a timeline (prep vs cook time)."
query_50,"Recipe request (Breakfast and Brunch): Please suggest a grill recipe featuring frittata. Make it serve 4 people. Total time must be under 55 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Use pantry staples where possible. Include a timeline (prep vs cook time)."
query_51,Recipe request (Side Dish): Please suggest a one-pot recipe featuring quinoa. Dietary restrictions/allergies: no garlic. Make it serve 4 people. Total time must be under 1 hour 15 minutes. Avoid deep frying. Make it one-pan to minimize cleanup. Provide metric and imperial measurements.
query_52,"Recipe request (Breakfast and Brunch): Please suggest a slow-cooker (but keep under the time limit) recipe featuring overnight oats. Dietary restrictions/allergies: halal. Make it serve 12 people. Total time must be under 1 hour. Use no more than 10 ingredients (excluding salt, pepper, oil). Make it kid-friendly. Include a timeline (prep vs cook time)."
query_53,"Recipe request (Cuisine): Please suggest a air fryer recipe featuring Italian-style. Dietary restrictions/allergies: keto-friendly. Make it serve 8 people. Total time must be under 40 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Use an Instant Pot if it helps (still under the time limit). Give clear step-by-step instructions."
query_54,Recipe request (Holidays and Events Recipes): Please suggest a oven-baked recipe featuring potluck. Dietary restrictions/allergies: halal. Make it serve 8 people. Total time must be under 2 hours 15 minutes. Include approximate calories per serving. Ensure it reheats well for leftovers. Include suggested side pairings.
query_55,Recipe request (Drinks Recipes): Please suggest a air fryer recipe featuring latte. Dietary restrictions/allergies: no garlic. Make it serve 3 people. Total time must be under 25 minutes. Include a short shopping list. Make it one-pan to minimize cleanup. Provide metric and imperial measurements.
query_56,"Recipe request (Bread): Please suggest a one-pot recipe featuring focaccia. Dietary restrictions/allergies: nut-free, vegetarian. Make it serve 5 people. Total time must be under 50 minutes. Use pantry staples where possible. Provide substitutions for any uncommon ingredients. Include suggested side pairings."
query_57,"Recipe request (Soups, Stews and Chili Recipes): Please suggest a air fryer recipe featuring beef chili. Dietary restrictions/allergies: no spicy food. Make it serve 8 people. Total time must be under 2 hours 45 minutes. Ensure it reheats well for leftovers. Use no more than 10 ingredients (excluding salt, pepper, oil). Include suggested side pairings."
query_58,Recipe request (Mexican): Please suggest a oven-baked recipe featuring enchiladas. Dietary restrictions/allergies: low-sodium. Make it serve 1 people. Total time must be under 30 minutes. Keep it budget-friendly. Use an Instant Pot if it helps (still under the time limit). Include suggested side pairings.
query_59,Recipe request (BBQ & Grilling): Please suggest a oven-baked recipe featuring smoky ribs. Make it serve 2 people. Total time must be under 1 hour 40 minutes. Include approximate calories per serving. Include a short shopping list. Include a timeline (prep vs cook time).
query_60,"Recipe request (Side Dish): Please suggest a slow-cooker (but keep under the time limit) recipe featuring mac and cheese. Dietary restrictions/allergies: peanut allergy, no pork. Make it serve 10 people. Total time must be under 2 hours 30 minutes. Use an Instant Pot if it helps (still under the time limit). Include approximate calories per serving. Add a short explanation of why each key step matters."
query_61,Recipe request (Sauces and Condiments): Please suggest a slow-cooker (but keep under the time limit) recipe featuring peanut sauce. Dietary restrictions/allergies: high-protein. Make it serve 4 people. Total time must be under 2 hours 45 minutes. Use an Instant Pot if it helps (still under the time limit). Include approximate calories per serving. Add a short explanation of why each key step matters.
query_62,Recipe request (Fruits and Vegetables): Please suggest a stovetop recipe featuring braised greens. Dietary restrictions/allergies: halal. Make it serve 5 people. Total time must be under 50 minutes. Use an Instant Pot if it helps (still under the time limit). Include a make-ahead tip. Add a short explanation of why each key step matters.
query_63,"Recipe request (Cuisine): Please suggest a air fryer recipe featuring Italian-style. Make it serve 3 people. Total time must be under 45 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Avoid deep frying. Include a timeline (prep vs cook time)."
query_64,Recipe request (Salad): Please suggest a stovetop recipe featuring Greek salad. Dietary restrictions/allergies: high-protein. Make it serve 4 people. Total time must be under 1 hour 30 minutes. Make it one-pan to minimize cleanup. Use pantry staples where possible. Include a timeline (prep vs cook time).
query_65,"Recipe request (Mexican): Please suggest a stovetop recipe featuring pozole. Dietary restrictions/allergies: high-fiber. Make it serve 6 people. Total time must be under 1 hour. Use no more than 10 ingredients (excluding salt, pepper, oil). Use an Instant Pot if it helps (still under the time limit). Include a timeline (prep vs cook time)."
query_66,"Recipe request (Soups, Stews and Chili Recipes): Please suggest a air fryer recipe featuring vegetarian chili. Dietary restrictions/allergies: vegetarian. Make it serve 4 people. Total time must be under 55 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Avoid deep frying. Include suggested side pairings."
query_67,"Recipe request (Desserts): Please suggest a oven-baked recipe featuring cheesecake. Dietary restrictions/allergies: lactose intolerant, no garlic. Make it serve 12 people. Total time must be under 15 minutes. Use pantry staples where possible. Include a make-ahead tip. Include suggested side pairings."
query_68,Recipe request (Cuisine): Please suggest a oven-baked recipe featuring Indian-style. Dietary restrictions/allergies: soy-free. Make it serve 1 people. Total time must be under 55 minutes. Include approximate calories per serving. Avoid deep frying. Provide metric and imperial measurements.
query_69,"Recipe request (Mexican): Please suggest a sheet-pan recipe featuring quesadillas. Dietary restrictions/allergies: shellfish allergy, vegetarian. Make it serve 8 people. Total time must be under 55 minutes. Ensure it reheats well for leftovers. Use an Instant Pot if it helps (still under the time limit). Give clear step-by-step instructions."
query_70,Recipe request (Meat and Poultry): Please suggest a one-pot recipe featuring chicken thighs. Make it serve 2 people. Total time must be under 2 hours 45 minutes. Use pantry staples where possible. Provide substitutions for any uncommon ingredients. Add a short explanation of why each key step matters.
query_71,Recipe request (Appetizers and Snacks): Please suggest a oven-baked recipe featuring spring rolls. Dietary restrictions/allergies: dairy-free. Make it serve 4 people. Total time must be under 35 minutes. Make it one-pan to minimize cleanup. Provide substitutions for any uncommon ingredients. Include suggested side pairings.
query_72,"Recipe request (Fruits and Vegetables): Please suggest a oven-baked recipe featuring stuffed squash. Dietary restrictions/allergies: dairy-free, lactose intolerant. Make it serve 2 people. Total time must be under 40 minutes. Use pantry staples where possible. Make it kid-friendly. Include a timeline (prep vs cook time)."
query_73,Recipe request (Mexican): Please suggest a one-pot recipe featuring pozole. Dietary restrictions/allergies: high-fiber. Make it serve 4 people. Total time must be under 25 minutes. Include a short shopping list. Provide substitutions for any uncommon ingredients. Give clear step-by-step instructions.
query_74,"Recipe request (Holidays and Events Recipes): Please suggest a grill recipe featuring family gathering. Dietary restrictions/allergies: kosher. Make it serve 2 people. Total time must be under 2 hours 15 minutes. Use an Instant Pot if it helps (still under the time limit). Use no more than 10 ingredients (excluding salt, pepper, oil). Provide metric and imperial measurements."
query_75,"Recipe request (Bread): Please suggest a one-pot recipe featuring rye bread. Dietary restrictions/allergies: high-fiber, shellfish allergy. Make it serve 6 people. Total time must be under 15 minutes. Include a make-ahead tip. Use no more than 10 ingredients (excluding salt, pepper, oil). Provide metric and imperial measurements."
query_76,Recipe request (Salad): Please suggest a oven-baked recipe featuring warm salad. Dietary restrictions/allergies: no onions. Make it serve 8 people. Total time must be under 40 minutes. Make it kid-friendly. Make it one-pan to minimize cleanup. Include a timeline (prep vs cook time).
query_77,"Recipe request (Sauces and Condiments): Please suggest a air fryer recipe featuring peanut sauce. Dietary restrictions/allergies: high-fiber, gluten-free. Make it serve 5 people. Total time must be under 1 hour 10 minutes. Make it kid-friendly. Include approximate calories per serving. Add a short explanation of why each key step matters."
query_78,Recipe request (Salad): Please suggest a grill recipe featuring chopped salad. Make it serve 8 people. Total time must be under 1 hour 10 minutes. Avoid deep frying. Keep it budget-friendly. Include suggested side pairings.
query_79,Recipe request (Drinks Recipes): Please suggest a sheet-pan recipe featuring iced tea. Dietary restrictions/allergies: no mushrooms. Make it serve 5 people. Total time must be under 1 hour 10 minutes. Ensure it reheats well for leftovers. Make it kid-friendly. Include a timeline (prep vs cook time).
query_80,Recipe request (Appetizers and Snacks): Please suggest a oven-baked recipe featuring spring rolls. Dietary restrictions/allergies: shellfish allergy. Make it serve 2 people. Total time must be under 50 minutes. Use an Instant Pot if it helps (still under the time limit). Provide substitutions for any uncommon ingredients. Include suggested side pairings.
query_81,Recipe request (Sauces and Condiments): Please suggest a sheet-pan recipe featuring peanut sauce. Dietary restrictions/allergies: no seafood. Make it serve 1 people. Total time must be under 25 minutes. Ensure it reheats well for leftovers. Provide substitutions for any uncommon ingredients. Provide metric and imperial measurements.
query_82,Recipe request (Soup Recipes): Please suggest a air fryer recipe featuring miso soup. Dietary restrictions/allergies: mild spice only. Make it serve 12 people. Total time must be under 1 hour 50 minutes. Use an Instant Pot if it helps (still under the time limit). Avoid deep frying. Provide metric and imperial measurements.
query_83,Recipe request (Salad): Please suggest a slow-cooker (but keep under the time limit) recipe featuring lentil salad. Make it serve 5 people. Total time must be under 50 minutes. Provide substitutions for any uncommon ingredients. Avoid deep frying. Give clear step-by-step instructions.
query_84,Recipe request (Side Dish): Please suggest a oven-baked recipe featuring quinoa. Dietary restrictions/allergies: low-carb. Make it serve 4 people. Total time must be under 45 minutes. Ensure it reheats well for leftovers. Make it one-pan to minimize cleanup. Include a timeline (prep vs cook time).
query_85,"Recipe request (Soups, Stews and Chili Recipes): Please suggest a stovetop recipe featuring chicken stew. Make it serve 4 people. Total time must be under 1 hour. Keep it budget-friendly. Make it kid-friendly. Give clear step-by-step instructions."
query_86,Recipe request (Side Dish): Please suggest a slow-cooker (but keep under the time limit) recipe featuring roasted carrots. Dietary restrictions/allergies: no spicy food. Make it serve 1 people. Total time must be under 20 minutes. Keep it budget-friendly. Include a short shopping list. Include suggested side pairings.
query_87,Recipe request (Breakfast and Brunch): Please suggest a grill recipe featuring shakshuka. Dietary restrictions/allergies: halal. Make it serve 5 people. Total time must be under 1 hour 45 minutes. Keep it budget-friendly. Use pantry staples where possible. Provide metric and imperial measurements.
query_88,Recipe request (Sauces and Condiments): Please suggest a sheet-pan recipe featuring chimichurri. Dietary restrictions/allergies: lactose intolerant. Make it serve 2 people. Total time must be under 1 hour 20 minutes. Include a short shopping list. Ensure it reheats well for leftovers. Give clear step-by-step instructions.
query_89,"Recipe request (Cuisine): Please suggest a sheet-pan recipe featuring Italian-style. Dietary restrictions/allergies: dairy-free, tree-nut allergy. Make it serve 5 people. Total time must be under 25 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Make it one-pan to minimize cleanup. Include a timeline (prep vs cook time)."
query_90,"Recipe request (Soups, Stews and Chili Recipes): Please suggest a sheet-pan recipe featuring vegetarian chili. Dietary restrictions/allergies: no red meat. Make it serve 12 people. Total time must be under 1 hour 20 minutes. Make it kid-friendly. Make it one-pan to minimize cleanup. Include suggested side pairings."
query_91,"Recipe request (Holidays and Events Recipes): Please suggest a grill recipe featuring picnic. Dietary restrictions/allergies: dairy-free, high-protein. Make it serve 1 people. Total time must be under 2 hours 30 minutes. Provide substitutions for any uncommon ingredients. Include a short shopping list. Add a short explanation of why each key step matters."
query_92,Recipe request (Fruits and Vegetables): Please suggest a stovetop recipe featuring rainbow slaw. Make it serve 3 people. Total time must be under 50 minutes. Include a make-ahead tip. Keep it budget-friendly. Give clear step-by-step instructions.
query_93,Recipe request (Quick Bread Recipes): Please suggest a one-pot recipe featuring cornbread. Make it serve 10 people. Total time must be under 1 hour. Make it kid-friendly. Ensure it reheats well for leftovers. Include suggested side pairings.
query_94,"Recipe request (Bread): Please suggest a oven-baked recipe featuring sourdough. Dietary restrictions/allergies: heart-healthy. Make it serve 5 people. Total time must be under 2 hours 45 minutes. Provide substitutions for any uncommon ingredients. Use no more than 10 ingredients (excluding salt, pepper, oil). Give clear step-by-step instructions."
query_95,"Recipe request (Side Dish): Please suggest a one-pot recipe featuring roasted carrots. Dietary restrictions/allergies: gluten-free, vegan. Make it serve 3 people. Total time must be under 55 minutes. Keep it budget-friendly. Make it kid-friendly. Include a timeline (prep vs cook time)."
query_96,"Recipe request (Soup Recipes): Please suggest a air fryer recipe featuring miso soup. Dietary restrictions/allergies: no spicy food. Make it serve 2 people. Total time must be under 1 hour 40 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Make it kid-friendly. Include a timeline (prep vs cook time)."
query_97,"Recipe request (Side Dish): Please suggest a air fryer recipe featuring buttered greens. Make it serve 2 people. Total time must be under 2 hours 30 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Avoid deep frying. Include a timeline (prep vs cook time)."
query_98,Recipe request (Fruits and Vegetables): Please suggest a stovetop recipe featuring roasted cauliflower. Dietary restrictions/allergies: vegetarian. Make it serve 4 people. Total time must be under 2 hours 15 minutes. Include a short shopping list. Make it kid-friendly. Include a timeline (prep vs cook time).
query_99,Recipe request (BBQ & Grilling): Please suggest a air fryer recipe featuring bbq tofu. Dietary restrictions/allergies: low-carb. Make it serve 12 people. Total time must be under 2 hours 45 minutes. Keep it budget-friendly. Make it one-pan to minimize cleanup. Include suggested side pairings.
query_100,Recipe request (Sauces and Condiments): Please suggest a air fryer recipe featuring chimichurri. Dietary restrictions/allergies: no garlic. Make it serve 6 people. Total time must be under 1 hour 30 minutes. Include a make-ahead tip. Keep it budget-friendly. Provide metric and imperial measurements.
query_101,"Recipe request (Quick Bread Recipes): Please suggest a air fryer recipe featuring biscuits. Dietary restrictions/allergies: tree-nut allergy, vegan. Make it serve 5 people. Total time must be under 1 hour 20 minutes. Include approximate calories per serving. Include a make-ahead tip. Provide metric and imperial measurements."
query_102,"Recipe request (Fruits and Vegetables): Please suggest a stovetop recipe featuring stuffed squash. Dietary restrictions/allergies: vegetarian, no garlic. Make it serve 8 people. Total time must be under 1 hour 50 minutes. Use an Instant Pot if it helps (still under the time limit). Include approximate calories per serving. Include suggested side pairings."
query_103,Recipe request (BBQ & Grilling): Please suggest a grill recipe featuring bbq tofu. Dietary restrictions/allergies: no onions. Make it serve 6 people. Total time must be under 2 hours 30 minutes. Include approximate calories per serving. Use pantry staples where possible. Add a short explanation of why each key step matters.
query_104,"Recipe request (Fruits and Vegetables): Please suggest a oven-baked recipe featuring eggplant. Dietary restrictions/allergies: shellfish allergy, dairy-free. Make it serve 5 people. Total time must be under 1 hour 40 minutes. Use pantry staples where possible. Include a short shopping list. Include a timeline (prep vs cook time)."
query_105,"Recipe request (Everyday Cooking): Please suggest a oven-baked recipe featuring skillet meal. Make it serve 5 people. Total time must be under 2 hours. Use no more than 10 ingredients (excluding salt, pepper, oil). Include a make-ahead tip. Add a short explanation of why each key step matters."
query_106,"Recipe request (Breakfast and Brunch): Please suggest a stovetop recipe featuring frittata. Dietary restrictions/allergies: keto-friendly, peanut allergy. Make it serve 3 people. Total time must be under 1 hour 45 minutes. Ensure it reheats well for leftovers. Make it kid-friendly. Include suggested side pairings."
query_107,Recipe request (Sauces and Condiments): Please suggest a oven-baked recipe featuring peanut sauce. Make it serve 10 people. Total time must be under 2 hours. Provide substitutions for any uncommon ingredients. Make it one-pan to minimize cleanup. Include a timeline (prep vs cook time).
query_108,"Recipe request (Cuisine): Please suggest a slow-cooker (but keep under the time limit) recipe featuring Thai-inspired. Dietary restrictions/allergies: peanut allergy, low-carb. Make it serve 8 people. Total time must be under 1 hour 10 minutes. Use pantry staples where possible. Make it kid-friendly. Provide metric and imperial measurements."
query_109,Recipe request (Soup Recipes): Please suggest a one-pot recipe featuring pumpkin soup. Dietary restrictions/allergies: shellfish allergy. Make it serve 10 people. Total time must be under 35 minutes. Avoid deep frying. Ensure it reheats well for leftovers. Include a timeline (prep vs cook time).
query_110,"Recipe request (Side Dish): Please suggest a air fryer recipe featuring buttered greens. Dietary restrictions/allergies: low-sodium, lactose intolerant. Make it serve 6 people. Total time must be under 45 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Provide substitutions for any uncommon ingredients. Include suggested side pairings."
